Date	H (cm)	date	date from zero
37465.7597	0	28/07/2002 18:14	263.0798
37465.8299	1	28/07/2002 19:55	263.15
37466.3896	1.4	29/07/2002 09:21	263.7097
37466.9194	0.6	29/07/2002 22:04	264.2395
37467.2097	2.9	30/07/2002 05:02	264.5298
37467.5597	1.2	30/07/2002 13:26	264.8798
37467.5896	1.7	30/07/2002 14:09	264.9097
37467.6597	0.6	30/07/2002 15:50	264.9798
37467.9396	2.6	30/07/2002 22:33	265.2597
37467.95	3	30/07/2002 22:48	265.2701
37467.9799	6.4	30/07/2002 23:31	265.3
37468.2396	3.1	31/07/2002 05:45	265.5597
37468.6896	1.4	31/07/2002 16:33	266.0097
37469.25	2.3	01/08/2002 06:00	266.5701
37471.6194	0.1	03/08/2002 14:52	268.9395
37471.6597	0.7	03/08/2002 15:50	268.9798
37472.6097	1	04/08/2002 14:38	269.9298
37473	0.2	05/08/2002 00:00	270.3201
37473.4299	0.8	05/08/2002 10:19	270.75
37473.5694	0.5	05/08/2002 13:40	270.8895
37473.6694	-0.2	05/08/2002 16:04	270.9895
37473.8299	0.5	05/08/2002 19:55	271.15
37473.8396	1.9	05/08/2002 20:09	271.1597
37473.8694	2.6	05/08/2002 20:52	271.1895
37474.0194	4.6	06/08/2002 00:28	271.3395
37474.2396	3.6	06/08/2002 05:45	271.5597
37474.45	4.7	06/08/2002 10:48	271.7701
37474.9799	3.1	06/08/2002 23:31	272.3
37475.5396	3.5	07/08/2002 12:57	272.8597
37475.55	4.1	07/08/2002 13:12	272.8701
37475.6194	3	07/08/2002 14:52	272.9395
37475.8194	2.4	07/08/2002 19:40	273.1395
37476.5597	1.8	08/08/2002 13:26	273.8798
37476.6896	1.1	08/08/2002 16:33	274.0097
37476.7299	1.7	08/08/2002 17:31	274.05
37478	1	10/08/2002 00:00	275.3201
37478.1194	1.7	10/08/2002 02:52	275.4395
37478.8799	0.6	10/08/2002 21:07	276.2
37479.0097	1.2	11/08/2002 00:14	276.3298
37479.5799	0.6	11/08/2002 13:55	276.9
37479.6194	1.3	11/08/2002 14:52	276.9395
37479.7299	0.4	11/08/2002 17:31	277.05
37479.8799	0.4	11/08/2002 21:07	277.2
37480.4194	1.6	12/08/2002 10:04	277.7395
37481.0097	0.5	13/08/2002 00:14	278.3298
37481.5194	0.9	13/08/2002 12:28	278.8395
37481.6799	0.5	13/08/2002 16:19	279
37482.4896	1	14/08/2002 11:45	279.8097
37482.55	0.1	14/08/2002 13:12	279.8701
37482.7694	-0.6	14/08/2002 18:28	280.0895
37483.4799	0.1	15/08/2002 11:31	280.8
37483.4896	-0.7	15/08/2002 11:45	280.8097
37483.5896	0.7	15/08/2002 14:09	280.9097
37483.6896	-0.3	15/08/2002 16:33	281.0097
37483.7	-1.1	15/08/2002 16:48	281.0201
37483.7799	-0.2	15/08/2002 18:43	281.1
37483.7896	0.5	15/08/2002 18:57	281.1097
37484.0097	-0.7	16/08/2002 00:14	281.3298
37484.4799	0.1	16/08/2002 11:31	281.8
37484.5597	-0.3	16/08/2002 13:26	281.8798
37484.5799	1	16/08/2002 13:55	281.9
37484.6896	-0.7	16/08/2002 16:33	282.0097
37485.4396	-0.7	17/08/2002 10:33	282.7597
37485.5194	-0.8	17/08/2002 12:28	282.8395
37485.6097	-1.3	17/08/2002 14:38	282.9298
37485.7799	-2	17/08/2002 18:43	283.1
37485.8097	-1.4	17/08/2002 19:26	283.1298
37486.4	-0.8	18/08/2002 09:36	283.7201
37486.5799	-1.2	18/08/2002 13:55	283.9
37486.7194	-2.4	18/08/2002 17:16	284.0395
37487.5097	-1	19/08/2002 12:14	284.8298
37487.6396	-1.3	19/08/2002 15:21	284.9597
37487.6799	-0.3	19/08/2002 16:19	285
37487.85	-1.5	19/08/2002 20:24	285.1701
37488	-1.6	20/08/2002 00:00	285.3201
37489.4	0.1	21/08/2002 09:36	286.7201
37490.4799	-0.7	22/08/2002 11:31	287.8
37490.65	-0.4	22/08/2002 15:36	287.9701
37491.7597	-1.3	23/08/2002 18:14	289.0798
37492.0396	-1.2	24/08/2002 00:57	289.3597
37493.6299	0.5	25/08/2002 15:07	290.95
37493.65	1.9	25/08/2002 15:36	290.9701
37493.9097	2.8	25/08/2002 21:50	291.2298
37494.0097	5	26/08/2002 00:14	291.3298
37494.05	7.5	26/08/2002 01:12	291.3701
37494.1299	16.4	26/08/2002 03:07	291.45
37494.1396	17.4	26/08/2002 03:21	291.4597
37494.1694	17.5	26/08/2002 04:04	291.4895
37494.2299	21.9	26/08/2002 05:31	291.55
37494.25	30	26/08/2002 06:00	291.5701
37494.2597	31.2	26/08/2002 06:14	291.5798
37494.3097	29.2	26/08/2002 07:26	291.6298
37494.4299	22	26/08/2002 10:19	291.75
37494.5097	19.1	26/08/2002 12:14	291.8298
37494.6	16.7	26/08/2002 14:24	291.9201
37494.6799	17.5	26/08/2002 16:19	292
37494.7	19	26/08/2002 16:48	292.0201
37494.7299	19.1	26/08/2002 17:31	292.05
37494.8	17	26/08/2002 19:12	292.1201
37495.0799	13.8	27/08/2002 01:55	292.4
37495.6396	9.7	27/08/2002 15:21	292.9597
37495.7694	9.2	27/08/2002 18:28	293.0895
37495.8396	9.8	27/08/2002 20:09	293.1597
37496.2097	8	28/08/2002 05:02	293.5298
37497.7097	4.4	29/08/2002 17:02	295.0298
37498.5194	3.8	30/08/2002 12:28	295.8395
37498.9097	4	30/08/2002 21:50	296.2298
37498.9194	4.6	30/08/2002 22:04	296.2395
37499.0097	4.3	31/08/2002 00:14	296.3298
37499.0896	5.4	31/08/2002 02:09	296.4097
37499.2799	4.7	31/08/2002 06:43	296.6
37499.2896	5.9	31/08/2002 06:57	296.6097
37499.3	9.6	31/08/2002 07:12	296.6201
37499.3097	12.1	31/08/2002 07:26	296.6298
37499.3299	13.3	31/08/2002 07:55	296.65
37499.8	8.5	31/08/2002 19:12	297.1201
37500.1694	6.5	01/09/2002 04:04	297.4895
37500.1799	7	01/09/2002 04:19	297.5
37500.6299	5.5	01/09/2002 15:07	297.95
37501.2694	4.7	02/09/2002 06:28	298.5895
37501.7396	6	02/09/2002 17:45	299.0597
37501.75	6.8	02/09/2002 18:00	299.0701
37501.8299	7.9	02/09/2002 19:55	299.15
37502	7.3	03/09/2002 00:00	299.3201
37502.1694	7.9	03/09/2002 04:04	299.4895
37502.7597	7.7	03/09/2002 18:14	300.0798
37502.8	10.8	03/09/2002 19:12	300.1201
37502.8396	11.4	03/09/2002 20:09	300.1597
37502.8694	13.8	03/09/2002 20:52	300.1895
37503	15.3	04/09/2002 00:00	300.3201
37503.0799	20.2	04/09/2002 01:55	300.4
37503.2896	16.4	04/09/2002 06:57	300.6097
37503.5396	13.6	04/09/2002 12:57	300.8597
37503.8299	11.5	04/09/2002 19:55	301.15
37504.2194	9.9	05/09/2002 05:16	301.5395
37504.2694	11.3	05/09/2002 06:28	301.5895
37504.35	11.9	05/09/2002 08:24	301.6701
37504.5799	12.2	05/09/2002 13:55	301.9
37504.6097	12.5	05/09/2002 14:38	301.9298
37504.6299	14	05/09/2002 15:07	301.95
37504.6396	13.2	05/09/2002 15:21	301.9597
37504.7299	14.3	05/09/2002 17:31	302.05
37505.1799	15.3	06/09/2002 04:19	302.5
37505.3299	15.1	06/09/2002 07:55	302.65
37505.7299	12.7	06/09/2002 17:31	303.05
37506.85	9.8	07/09/2002 20:24	304.1701
37507.3299	9.1	08/09/2002 07:55	304.65
37507.8896	9.4	08/09/2002 21:21	305.2097
37507.9694	10.2	08/09/2002 23:16	305.2895
37508.0396	12.3	09/09/2002 00:57	305.3597
37508.1194	16.9	09/09/2002 02:52	305.4395
37508.15	20.4	09/09/2002 03:36	305.4701
37508.2097	28.9	09/09/2002 05:02	305.5298
37508.25	38.4	09/09/2002 06:00	305.5701
37508.2799	43.9	09/09/2002 06:43	305.6
37508.3299	47.7	09/09/2002 07:55	305.65
37508.3799	49	09/09/2002 09:07	305.7
37508.4299	48.5	09/09/2002 10:19	305.75
37508.6194	39.1	09/09/2002 14:52	305.9395
37508.6396	38.8	09/09/2002 15:21	305.9597
37508.7799	33.6	09/09/2002 18:43	306.1
37509.1597	26.9	10/09/2002 03:50	306.4798
37509.6896	22	10/09/2002 16:33	307.0097
37510.0097	20	11/09/2002 00:14	307.3298
37510.1896	19.9	11/09/2002 04:33	307.5097
37510.4597	18.5	11/09/2002 11:02	307.7798
37510.4694	19	11/09/2002 11:16	307.7895
37510.7194	17.5	11/09/2002 17:16	308.0395
37511.5896	15.8	12/09/2002 14:09	308.9097
37512.0097	14.8	13/09/2002 00:14	309.3298
37512.2299	15.6	13/09/2002 05:31	309.55
37512.3194	17.3	13/09/2002 07:40	309.6395
37512.4194	20.3	13/09/2002 10:04	309.7395
37512.55	26.5	13/09/2002 13:12	309.8701
