"Time [yyyy-MM-dd hh:mm:ss]","Q_maxpost [m3/s]","Q_param_low [[m3/s]","Q_param_high [m3/s]","Q_total_low [m3/s]","Q_total_high [m3/s]"
1902-10-14 07:00:00,37830.4,36888.1,38545.4,36700.4,38718.0
1902-10-15 07:00:00,38127.0,37068.6,38778.6,36961.9,39066.0
1902-10-16 07:00:00,38275.5,37392.0,39007.4,37172.4,39292.3
1902-10-17 07:00:00,39246.0,38253.4,40029.0,37848.3,40201.8
1902-10-18 07:00:00,38722.4,37693.0,39441.4,37458.1,39576.6
1902-10-19 07:00:00,38871.7,37863.0,39630.2,37705.3,39863.2
1902-10-20 07:00:00,39171.0,38241.9,40029.9,38075.7,40221.9
1902-10-21 07:00:00,39471.1,38512.0,40123.1,38287.3,40297.0
1902-10-22 07:00:00,39771.9,38849.2,40549.1,38554.0,40706.2
1902-10-23 07:00:00,40073.5,39059.3,40770.4,38719.2,41092.1
1902-10-24 07:00:00,40300.3,39307.1,41007.9,38927.8,41207.6
1902-10-25 07:00:00,40527.4,39508.8,41295.6,39193.9,41650.1
1902-10-26 07:00:00,40679.1,39672.3,41415.2,39465.4,41728.3
1902-10-27 07:00:00,40983.0,39862.8,41748.1,39489.0,41986.0
1902-10-28 07:00:00,41135.3,40133.1,41863.6,39946.3,42057.6
1902-10-29 07:00:00,41440.4,40342.9,42171.0,40168.9,42529.3
1902-10-30 07:00:00,41822.8,40770.3,42562.7,40519.4,42790.4
1902-10-31 07:00:00,42129.6,41093.1,42848.9,40793.6,43067.4
1902-11-01 07:00:00,42514.2,41433.9,43219.2,41295.5,43392.6
1902-11-02 07:00:00,42745.6,41744.9,43517.9,41375.7,43631.6
1902-11-03 07:00:00,42900.0,41733.3,43664.1,41425.2,43853.9
1902-11-04 07:00:00,43209.5,42043.6,43875.2,41635.1,44226.6
1902-11-05 07:00:00,43675.1,42575.4,44326.9,42122.7,44597.0
1902-11-06 07:00:00,44298.6,43156.7,45161.4,42708.8,45514.8
1902-11-07 07:00:00,44768.2,43684.7,45578.5,43392.5,45781.4
1902-11-08 07:00:00,45160.8,43942.1,46000.6,43672.3,46284.2
1902-11-09 07:00:00,45554.6,44402.8,46325.6,44220.5,46544.7
1902-11-10 07:00:00,45870.4,44772.9,46676.7,44582.6,46978.8
1902-11-11 07:00:00,46107.8,44933.7,46954.1,44628.6,47296.5
1902-11-12 07:00:00,46425.0,45258.7,47232.1,45008.2,47611.3
1902-11-13 07:00:00,46583.8,45380.7,47422.3,45153.9,47581.8
1902-11-14 07:00:00,46822.4,45594.9,47640.0,45349.1,47833.2
1902-11-15 07:00:00,47300.9,46089.1,48101.8,45812.3,48415.0
1902-11-16 07:00:00,47620.9,46371.9,48514.9,46280.1,48755.1
1902-11-17 07:00:00,47861.3,46751.5,48717.1,46396.7,48840.3
1902-11-18 07:00:00,48102.1,46947.3,48902.4,46684.1,49058.8
1902-11-19 07:00:00,48423.9,47184.8,49279.4,46927.7,49524.7
1902-11-20 07:00:00,48907.9,47635.5,49705.5,47338.7,49947.7
1902-11-21 07:00:00,49150.5,47929.6,50088.0,47598.2,50299.9
1902-11-22 07:00:00,49312.4,47926.4,50149.5,47745.6,50397.6
1902-11-23 07:00:00,49474.6,48054.6,50281.9,48004.7,50460.2
1902-11-24 07:00:00,49636.9,48263.5,50440.2,48089.4,50649.0
1902-11-25 07:00:00,49880.7,48748.2,50755.7,48429.7,50989.6
1902-11-26 07:00:00,50043.5,48728.0,51007.7,48551.8,51142.5
1902-11-27 07:00:00,50288.0,48869.1,51179.8,48651.4,51346.7
1902-11-28 07:00:00,50451.3,49216.9,51376.8,48947.6,51619.1
1902-11-29 07:00:00,50696.5,49289.0,51651.2,49057.6,51865.7
1902-11-30 07:00:00,51106.0,49800.9,51997.9,49429.1,52233.3
1902-12-01 07:00:00,51352.3,49904.9,52239.5,49601.6,52418.5
1902-12-02 07:00:00,51516.7,50182.8,52402.8,49951.2,52549.8
1902-12-03 07:00:00,51598.9,50295.1,52527.4,49883.5,52752.7
1902-12-04 07:00:00,51681.2,50303.6,52532.4,50209.0,52801.3
1902-12-05 07:00:00,51763.6,50367.9,52501.1,49947.0,52728.1
1902-12-06 07:00:00,51846.0,50549.8,52851.7,50171.2,53125.7
1902-12-07 07:00:00,51928.5,50666.0,53054.9,50409.5,53360.1
1902-12-08 07:00:00,52010.9,50670.0,52923.2,50467.1,53155.8
1902-12-09 07:00:00,52258.7,50898.3,53190.2,50600.9,53522.9
1902-12-10 07:00:00,52424.1,51092.4,53333.2,50808.4,53646.1
1902-12-11 07:00:00,52755.4,51292.4,53677.3,51082.7,53888.0
1902-12-12 07:00:00,53004.3,51680.1,53917.5,51430.7,54183.2
1902-12-13 07:00:00,53336.8,51971.8,54420.7,51698.6,54576.2
1902-12-14 07:00:00,53670.1,52262.6,54734.0,51939.8,55156.9
1902-12-15 07:00:00,54338.7,52976.8,55476.1,52734.6,55858.4
1902-12-16 07:00:00,54338.7,52793.7,55388.0,52454.4,55603.3
1902-12-17 07:00:00,54171.3,52819.6,55305.6,52503.5,55614.2
1902-12-18 07:00:00,53920.5,52476.7,54962.9,52154.2,55233.0
1902-12-19 07:00:00,53670.1,52319.7,54626.3,52027.0,54729.9
1902-12-20 07:00:00,53420.1,52179.2,54482.6,52004.4,54540.9
1902-12-21 07:00:00,53170.5,51870.3,54185.7,51749.8,54527.3
1902-12-22 07:00:00,52921.3,51546.2,53867.3,51265.3,54263.0
1902-12-23 07:00:00,52672.5,51289.7,53719.9,51211.4,53981.6
1902-12-24 07:00:00,52424.1,51058.6,53385.1,50642.8,53600.4
1902-12-25 07:00:00,52258.7,50862.8,53280.5,50592.1,53533.9
1902-12-26 07:00:00,52093.5,50772.2,53104.1,50584.3,53404.3
1902-12-27 07:00:00,51846.0,50602.4,52666.4,50218.7,52998.3
1902-12-28 07:00:00,51763.6,50400.1,52652.8,50145.9,52808.1
1902-12-29 07:00:00,51598.9,50210.3,52509.3,49998.4,52651.2
1902-12-30 07:00:00,51516.7,50121.7,52526.4,49899.5,52781.6
1902-12-31 07:00:00,51352.3,49971.1,52319.5,49430.3,52552.0
1903-01-01 07:00:00,50860.1,49558.3,51690.0,49454.0,52063.2
1903-01-02 07:00:00,50614.7,49185.3,51526.6,48953.6,51670.7
1903-01-03 07:00:00,50288.0,49043.4,51091.1,48872.7,51386.4
1903-01-04 07:00:00,50125.0,48761.6,51074.1,48508.2,51193.6
1903-01-05 07:00:00,49880.7,48727.6,50728.7,48363.6,51008.6
1903-01-06 07:00:00,49636.9,48416.2,50443.5,48146.6,50659.9
1903-01-07 07:00:00,49474.6,48260.0,50423.8,47978.6,50721.1
1903-01-08 07:00:00,49069.5,47783.4,49891.8,47582.3,50094.4
1903-01-09 07:00:00,48827.1,47521.5,49587.2,47297.0,49925.8
1903-01-10 07:00:00,48423.9,47235.2,49210.2,46902.1,49466.2
1903-01-11 07:00:00,48262.9,47096.5,49155.8,46694.9,49373.6
1903-01-12 07:00:00,48021.8,46798.8,48856.7,46549.8,49067.9
1903-01-13 07:00:00,47620.9,46278.1,48357.1,46076.0,48588.1
1903-01-14 07:00:00,47300.9,45970.6,48076.2,45809.2,48349.3
1903-01-15 07:00:00,47061.5,45864.3,47809.4,45604.2,48060.9
1903-01-16 07:00:00,46663.3,45498.2,47579.1,45294.8,47834.3
1903-01-17 07:00:00,46345.6,45197.3,47218.6,44865.6,47427.2
1903-01-18 07:00:00,45870.4,44747.2,46646.6,44549.6,46902.8
1903-01-19 07:00:00,45396.9,44213.5,46248.9,44024.9,46527.3
1903-01-20 07:00:00,44689.8,43561.5,45474.0,43327.8,45697.5
1903-01-21 07:00:00,44376.8,43359.6,45190.2,43121.4,45452.2
1903-01-22 07:00:00,43675.1,42600.5,44472.0,42323.3,44650.6
1903-01-23 07:00:00,42977.3,41774.5,43755.4,41597.6,43962.6
1903-01-24 07:00:00,42437.2,41420.0,43210.6,41189.9,43400.4
1903-01-25 07:00:00,41593.2,40530.4,42309.2,40281.4,42461.8
1903-01-26 07:00:00,41135.3,40197.8,41883.2,39917.0,42101.9
1903-01-27 07:00:00,40831.0,39846.5,41542.7,39488.1,41831.5
1903-01-28 07:00:00,40375.9,39242.1,41039.9,39053.9,41245.1
1903-01-29 07:00:00,40149.1,39160.5,40859.5,38880.2,41020.7
1903-01-30 07:00:00,39771.9,38853.5,40552.9,38675.4,40753.3
1903-01-31 07:00:00,39546.2,38459.6,40268.4,38325.4,40506.6
1903-02-01 07:00:00,39171.0,38148.1,39883.5,37821.4,40098.5
1903-02-02 07:00:00,38722.4,37617.6,39403.2,37448.5,39595.0
