"Date (TU)","Date de la mesure du min/max (TU)","Valeur (en m)","Statut","Qualification","Méthode","Continuité"
2011-09-01T00:00:00.000Z,2011-09-28T06:25:00.000Z,"-0.50","16",20,10,0
2011-10-01T00:00:00.000Z,2011-10-05T23:59:59.000Z,"-0.49","16",20,10,0
2011-11-01T00:00:00.000Z,2011-11-01T00:00:00.000Z,"-0.35","16",20,10,0
2011-12-01T00:00:00.000Z,2011-12-30T10:38:00.000Z,"-0.42","16",20,10,0
2012-01-01T00:00:00.000Z,2012-01-30T11:59:00.000Z,"-0.48","16",20,10,0
2012-02-01T00:00:00.000Z,2012-02-11T06:20:00.000Z,"-0.55","16",20,10,0
2012-03-01T00:00:00.000Z,2012-03-11T08:27:00.000Z,"-0.52","16",20,10,0
2012-04-01T00:00:00.000Z,2012-04-03T17:00:00.000Z,"-0.51","16",20,10,0
2012-05-01T00:00:00.000Z,2012-05-19T18:40:00.000Z,"-0.36","16",20,10,0
2012-06-01T00:00:00.000Z,2012-06-30T23:59:59.000Z,"-0.50","16",20,10,0
2012-07-01T00:00:00.000Z,2012-07-31T23:59:59.000Z,"-0.55","16",20,10,0
2012-08-01T00:00:00.000Z,2012-08-19T21:26:00.000Z,"-0.59","16",20,10,0
